sample,cov,fra,col
LASPH\_N,1,100,3030A3
LASPH\_P,1,100,4A349F
BRIAN\_P,114,41,5E389B
BOUDE-1\_P,149,26,6F3E97
KRAMA\_N,148,26,7E4394
KRAMA\_P,178,20,8B4890
MULAY\_P,183,19,994E8C
MULAY\_N,189,18,A55488
DEVCL\_N,212,15,B15A84
MASFA\_N,298,11,BD617F
DEVCL\_P,245,11,C9677B
BOUDE-2\_P,252,11,D46E76
LECFA\_N,244,11,DA7473
BASPA\_P,229,11,D17876
SAMAR\_P,266,10,C77B79
LECFA\_P,258,10,BD7F7B
BRIAN\_N,305,10,B2827E
LHYET\_N,260,10,A78481
FARMO\_N,278,9,9C8783
LHYET\_P,232,9,908986
MASFA\_P,273,8,838B89
OUATI\_P,309,7,758D8C
PLANY\_P,284,7,668F8E
FARMO\_P,277,7,539191
