sample,cov,fra,col
MOKRA\_P,280,7,488F8E
OUATI\_N,332,7,478B85
REMMA\_N,306,7,45877C
REMMA\_P,312,6,448273
LABPH\_P,321,6,427E6A
PLANY\_N,334,6,407A62
ROQRO-1\_N,295,6,3E7559
MOKRA\_N,287,6,3B7151
ROQRO-1\_P,352,5,396D48
BASPA\_N,405,5,366940
GOSJU\_N,364,5,336537
ROQRO-2\_P,396,5,30612F
VERPY\_P,372,5,3C652D
BOUDE-1\_N,382,5,4C6D2F
BOUDE-2\_N,382,5,5B7530
SAMAR\_N,375,5,6A7D31
VERPY\_N,392,5,798532
DUMEL\_P,292,5,878D33
DUMEL\_N,422,4,969433
ROQRO-2\_N,440,4,A59C34
GOSJU\_P,445,4,B4A435
AUZAL\_N,463,4,C3AC35
LABPH\_N,401,3,D2B435
AUZAL\_P,466,3,E1BD35
